# id;sud;brojPredmeta;tipKrivicnogDjela;clanKZ;iznos;ranijeOsudjivan;uslovnaOsuda;vrstaPresude;zaposlenost;bracniStatus;kaznaUMjesecima;novcanaKazna;obrazovanje;ukupanIznos;brojTransakcija;brojOkrivljenih;brojSvjedoka;brojDokaza;priznanje;pokusaj;saizvrsilastvo
22;Berane;167/15;falsifikovanje novca;čl. 258;700.0;ne;Ne;osudjujuca;zaposlen;ozenjen;12.0;0.0;nepoznat;1572.3;10;1;0;15;ne;ne;ne
23;Bijelo Polje;169/16;falsifikovanje novca;čl. 258;132.0;da;Ne;osudjujuca;nepoznat;nepoznat;7.0;0.0;SSS;367.0;8;1;0;12;ne;ne;ne
24;Herceg Novi;171/2015;falsifikovanje novca;čl. 258;700.0;ne;Da;uslovna;zaposlen;neozenjen;7.0;0.0;SSS;790.0;4;1;0;1;ne;da;ne
25;Bar;173/20;zloupotreba platnih kartica;čl. 260 st. 2;900.0;da;Da;uslovna;nezaposlen;neozenjen;6.0;0.0;nepoznat;1822.0;10;1;0;8;ne;ne;ne
26;Herceg Novi;177/10;zloupotreba platnih kartica;čl. 260 st. 2;600.0;ne;Ne;osudjujuca;nezaposlen;ozenjen;3.0;0.0;pismen;1400.0;3;1;0;3;ne;ne;ne
27;Kotor;182/19;falsifikovanje novca;čl. 258;200.0;ne;Ne;osudjujuca;nezaposlen;razveden;6.0;0.0;nepoznat;775.2;10;1;0;22;ne;ne;ne
28;Kotor;184/13;zloupotreba platnih kartica;čl. 260 st. 2;1640.0;da;Ne;osudjujuca;nepoznat;neozenjen;3.0;0.0;SSS;2291.39;9;1;0;2;ne;ne;ne
29;Rožaje;192/10;falsifikovanje novca;čl. 258;600.0;nepoznat;Ne;osudjujuca;nepoznat;neozenjen;1.5;0.0;nepoznat;950.0;7;2;0;3;ne;ne;da
30;Kotor;192/19;falsifikovanje novca;čl. 258;200.0;ne;Ne;osudjujuca;nepoznat;neozenjen;6.0;0.0;SSS;465.0;5;1;0;14;ne;ne;ne
31;Kotor;193/2015;zloupotreba platnih kartica;čl. 260;500.0;ne;Ne;osudjujuca;nepoznat;neozenjen;6.0;70.0;VSS;691.0;6;1;0;2;da;ne;ne
32;Podgorica;195/13;zloupotreba platnih kartica;čl. 260 st. 2;1019.7;ne;Da;uslovna;zaposlen;razveden;6.0;0.0;SSS;4549.7;9;1;0;4;ne;ne;ne
